County,Mean_Offense,Median_Offense,Variance_Offense,Offense_Std. Dev.,Rank,Name,Named For,Variance_percent,LIndex
Harrison,25.91304347826087,25.0,85.04917410290483,9.222210911864076,102,Harrison,Jonas Harrison (1777-1836),0.03301333018413454,5
Hartley,4.2,6.0,5.511111111111112,2.3475755815545347,103,Hartley,Oliver C. (1823-59) and Rufus K. Hartley,0.0021392345394492147,5
Haskell,4.870967741935484,3.0,7.116129032258064,2.667607360961891,104,Haskell,Charles R. Haskell (1817-36),0.002762250425743022,5
Hays,47.889952153110045,53.0,157.8967333310385,12.565696691033033,105,Hays,John C. Hays (1817-83),0.061290389324024926,5
Hemphill,3.0,3.0,1.1111111111111112,1.0540925533894598,106,Hemphill,John Hemphill (1803-62),0.0004312972861792772,5
Henderson,36.153284671532845,42.0,180.47458624100958,13.434083007076053,107,Henderson,James Pinckney Henderson (1808-58),0.0700543793430678,5
Hidalgo,202.144121987211,214.0,5523.235616268573,74.31847425955792,108,Hidalgo,Miguel Hidalgo (1753-1811),2.1439408790028267,5
Hill,28.20446096654275,25.0,128.46923375686623,11.334426926707245,109,Hill,George Washington Hill (1814-1860),0.04986758868918082,5
Hockley,8.54054054054054,6.0,19.950388744909294,4.466585804046453,110,Hockley,George Washington Hockley (1802-51),0.007744093671510876,5
Hood,46.00523560209424,56.0,603.6052356020942,24.568378774394013,111,Hood,John Bell Hood (1831-79),0.2342999700349078,5
Hopkins,28.427312775330396,29.0,234.03341000350855,15.298150541928543,112,Hopkins,family of David Hopkins (1825-1906),0.09084417714881579,5
Houston,11.430379746835444,13.0,17.453424212917884,4.177729552390614,113,Houston,Sam Houston (1793-1863),0.006774853047810452,5
Howard,13.47787610619469,12.0,50.18030973451329,7.0838061615570265,114,Howard,Volney E. Howard (1809-89),0.019478368267318028,5
Hudspeth,2.4285714285714284,2.0,0.28571428571428575,0.5345224838248488,115,Hudspeth,Claude B. Hudspeth (1877-1941),0.00011090501644609985,5
Hunt,39.90847457627119,44.0,462.69567623659646,21.510362066608653,116,Hunt,Memucan Hunt Jr. (1807-56),0.17960345053895654,5
Hutchinson,8.0,9.0,8.953846153846156,2.992297805006406,117,Hutchinson,Anderson Hutchinson (1798-1853),0.003475592592318545,5
Irion,1.0,1.0,0.0,0.0,118,Irion,Robert A. Irion (1804-61),0.0,5
Jack,2.9047619047619047,3.0,1.7904761904761908,1.3380867649282653,119,Jack,Patrick (1808-44) and William (1806-44) Jack,0.0006950047697288924,5
Jackson,6.333333333333333,4.0,9.306666666666667,3.0506829836393465,120,Jackson,Andrew Jackson (1767-1845),0.0036125460690376253,5
Jasper,9.333333333333334,8.0,20.760563380281692,4.556376123662498,121,Jasper,William Jasper (1750-79),0.008058577180921535,5
Jeff Davis,1.6666666666666667,2.0,0.3333333333333333,0.5773502691896257,122,Jeff Davis,Jefferson Davis (1808-89),0.00012938918585378312,5
Jefferson,90.0904033379694,95.0,1166.447247608681,34.15329043604263,123,Jefferson,Thomas Jefferson (1743-1826),0.4527769791284203,5
Jim Hogg,1.0,1.0,0.0,0.0,124,Jim Hogg,James S. Hogg (1851-1906),0.0,5
Jim Wells,6.0,6.0,7.5652173913043494,2.7504940267712543,125,Jim Wells,James B. Wells Jr. (1850-1923),0.0029365719572032527,5
Johnson,102.12581063553826,89.0,3858.1516835952666,62.11402163437227,126,Johnson,Middleton Tate Johnson (1810-66),1.4976093157223829,5
Jones,5.977777777777778,6.0,2.931313131313131,1.7121078036482198,127,Jones,Anson Jones (1798-1858),0.0011378406586293292,5
Karnes,3.4545454545454546,3.0,2.8311688311688314,1.6826077472687542,128,Karnes,Henry W. Karnes (1812-40),0.0010989678902386258,5
